Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Other,2016,Action,Other,0,0,0.28,0,0.28
Wii,2010,Platform,Other,0.17,0.09,0,0.02,0.28
DS,2004,Simulation,Electronic Arts,0.26,0,0,0.02,0.28
DS,2006,Platform,Other,0.16,0,0.1,0.02,0.28
PS2,2004,Fighting,Other,0.14,0.11,0,0.04,0.28
GBA,2002,Action,Ubisoft,0.2,0.07,0,0.01,0.28
Wii,2009,Misc,Activision,0.13,0.12,0,0.03,0.28
PS,1998,Fighting,Sony Computer Entertainment,0.09,0.06,0.1,0.02,0.28
PS3,2010,Shooter,Namco Bandai Games,0.1,0.12,0.02,0.05,0.28
PS2,2006,Role-Playing,Other,0.14,0.11,0,0.04,0.28
Other,2015,Shooter,Other,0.1,0.14,0,0.05,0.28
PS2,2002,Sports,Other,0.14,0.11,0,0.04,0.28
Other,1995,Platform,Other,0.03,0.01,0.23,0.01,0.28
PS3,2011,Action,Other,0.11,0.06,0.08,0.03,0.28
PS3,2010,Sports,Activision,0.18,0.06,0,0.04,0.28
Wii,2010,Misc,Other,0.18,0.08,0,0.02,0.28
DS,2007,Simulation,Activision,0.26,0,0,0.02,0.28
XB,2004,Sports,Electronic Arts,0.21,0.06,0,0.01,0.28
Other,N/A,Action,Other,0.22,0.06,0,0.01,0.28
PS,1995,Sports,Konami Digital Entertainment,0.16,0.11,0,0.02,0.28
X360,2014,Shooter,Sega,0.15,0.1,0,0.02,0.28
Wii,2010,Action,Other,0.2,0.05,0,0.02,0.28
GBA,2003,Racing,Other,0.2,0.07,0,0.01,0.28
PSP,2008,Action,Other,0.06,0,0.2,0.01,0.28
Other,2012,Misc,Activision,0.13,0.13,0,0.03,0.28
X360,2011,Sports,Activision,0.24,0.02,0,0.02,0.28
Other,1992,Sports,Other,0,0,0.28,0,0.28
Other,2004,Action,THQ,0.22,0.06,0,0.01,0.28
XB,2001,Action,Konami Digital Entertainment,0.21,0.06,0,0.01,0.28
PS3,2014,Shooter,Other,0.1,0.13,0,0.05,0.28
Other,2014,Action,Nintendo,0.17,0,0.08,0.02,0.28
Other,2014,Action,Activision,0.16,0.1,0,0.02,0.28
PS2,2007,Role-Playing,Other,0.14,0.11,0,0.04,0.28
PS2,2001,Sports,THQ,0.14,0.11,0,0.04,0.28
PS2,2002,Sports,Other,0.14,0.11,0,0.04,0.28
X360,2009,Platform,Other,0.12,0.12,0.01,0.03,0.28
X360,2010,Misc,Electronic Arts,0.16,0.09,0,0.02,0.28
Other,N/A,Misc,Other,0.21,0.06,0,0.01,0.28
PS3,2009,Misc,Electronic Arts,0.12,0.11,0,0.05,0.28
PS3,2011,Action,Sony Computer Entertainment,0.13,0.11,0,0.04,0.28
DS,2007,Strategy,Konami Digital Entertainment,0.13,0.02,0.12,0.01,0.28
X360,2014,Action,Other,0.14,0.11,0,0.02,0.28
PS2,2000,Sports,Other,0.14,0.11,0,0.04,0.28
PS2,2001,Shooter,Other,0.05,0.04,0.17,0.01,0.28
DS,2006,Platform,Other,0.2,0.05,0,0.02,0.28
Other,1997,Strategy,Other,0,0,0.28,0,0.28
Other,2016,Action,Other,0.04,0.11,0.11,0.03,0.28
X360,2011,Sports,Other,0.03,0.21,0,0.04,0.28
Wii,2009,Adventure,Ubisoft,0.12,0.13,0,0.03,0.28
PS,1998,Strategy,Activision,0.15,0.11,0,0.02,0.28
PS2,2008,Action,Namco Bandai Games,0,0,0.28,0,0.28
XB,2005,Platform,Activision,0.21,0.06,0,0.01,0.28
Wii,2011,Misc,Ubisoft,0.21,0.04,0,0.02,0.28
X360,2007,Fighting,Sega,0.2,0.02,0.03,0.02,0.28
PS2,2009,Action,Activision,0.11,0.01,0,0.16,0.28
X360,2013,Strategy,Activision,0.16,0.1,0,0.02,0.28
Other,1992,Racing,Other,0,0,0.28,0,0.28
Other,1994,Simulation,Sega,0,0,0.28,0,0.28
PS2,2003,Sports,Other,0.14,0.11,0,0.04,0.28
DS,2006,Puzzle,Sega,0,0,0.28,0,0.28
Other,2003,Misc,Nintendo,0,0,0.27,0.01,0.28
PS,1998,Role-Playing,Konami Digital Entertainment,0,0,0.26,0.02,0.28
Other,2001,Sports,Other,0.21,0.06,0,0.01,0.28
PS3,2014,Action,Namco Bandai Games,0.09,0.1,0.06,0.04,0.28
DS,2011,Simulation,Activision,0.26,0,0,0.02,0.28
PS,1998,Fighting,Electronic Arts,0.15,0.1,0,0.02,0.28
PS2,2008,Action,THQ,0.14,0.11,0,0.04,0.28
XB,2005,Action,Activision,0.21,0.06,0,0.01,0.28
PS2,2003,Sports,Other,0.14,0.11,0,0.04,0.28
PS2,2008,Sports,Electronic Arts,0.14,0.11,0,0.04,0.28
Wii,2006,Adventure,THQ,0.23,0.02,0,0.02,0.28
GBA,2001,Sports,Konami Digital Entertainment,0,0,0.27,0.01,0.28
GBA,2003,Platform,Konami Digital Entertainment,0.2,0.07,0,0,0.28
PS2,2002,Adventure,Ubisoft,0.14,0.11,0,0.04,0.28
DS,2009,Role-Playing,Other,0.13,0,0.14,0.01,0.28
Other,1996,Shooter,Namco Bandai Games,0,0,0.28,0,0.28
PS,1997,Simulation,Other,0.06,0.04,0.15,0.02,0.28
PS3,2013,Shooter,Electronic Arts,0.11,0.11,0.01,0.05,0.28
Other,2000,Platform,Nintendo,0,0,0.28,0,0.28
Other,2012,Misc,Other,0,0,0.28,0,0.28
Other,1995,Misc,Other,0,0,0.28,0,0.28
X360,2006,Sports,Electronic Arts,0.24,0.01,0,0.02,0.28
PSP,2011,Misc,Sony Computer Entertainment,0.05,0.03,0.17,0.02,0.27
Wii,2009,Action,Activision,0.11,0.14,0,0.03,0.27
Other,2016,Adventure,Other,0,0,0.27,0,0.27
PS2,2007,Sports,Other,0.13,0.11,0,0.04,0.27
DS,2007,Misc,Nintendo,0,0,0.27,0,0.27
PS2,2000,Sports,Take-Two Interactive,0.13,0.1,0,0.04,0.27
Other,1982,Action,Other,0.26,0.02,0,0,0.27
XB,2003,Fighting,Other,0.21,0.06,0,0.01,0.27
PS3,2009,Misc,Activision,0.14,0.09,0,0.04,0.27
PS,1996,Fighting,Other,0,0,0.26,0.02,0.27
Other,2004,Fighting,Other,0.21,0.06,0,0.01,0.27
GBA,N/A,Action,Other,0,0,0.27,0.01,0.27
DS,2006,Platform,Activision,0.24,0.01,0,0.02,0.27
GBA,2002,Racing,Konami Digital Entertainment,0.2,0.07,0,0,0.27
PS,1998,Action,Other,0,0,0.26,0.02,0.27
PS,1997,Action,Other,0.09,0.06,0.11,0.02,0.27
GBA,2001,Puzzle,Other,0.2,0.07,0,0,0.27
PS3,2008,Action,Sony Computer Entertainment,0,0.17,0.09,0.01,0.27
PSP,2011,Sports,Take-Two Interactive,0.22,0.03,0,0.03,0.27
PS2,2004,Role-Playing,Other,0,0,0.27,0,0.27
PS,2001,Action,Other,0.15,0.1,0,0.02,0.27
XB,2001,Sports,Other,0.2,0.06,0,0.01,0.27
Other,N/A,Racing,Other,0.26,0.01,0,0,0.27
X360,2013,Racing,Other,0.08,0.16,0,0.03,0.27
PS2,2009,Misc,Electronic Arts,0.09,0.01,0,0.17,0.27
PS,2000,Adventure,THQ,0.15,0.1,0,0.02,0.27
Wii,2011,Action,Electronic Arts,0.11,0.12,0.01,0.03,0.27
PS,1997,Fighting,Namco Bandai Games,0.02,0.02,0.22,0.02,0.27
PS,2000,Sports,Other,0.15,0.1,0,0.02,0.27
Other,2013,Racing,Electronic Arts,0.13,0.12,0,0.02,0.27
PS,2001,Sports,Other,0.15,0.1,0,0.02,0.27
PC,2014,Action,Other,0.1,0.16,0,0.02,0.27
PC,2012,Action,Electronic Arts,0.09,0.16,0,0.02,0.27
X360,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27
X360,2011,Action,Other,0.17,0.08,0,0.02,0.27
Wii,2008,Simulation,Other,0.25,0,0,0.02,0.27
PS3,2015,Misc,Activision,0.11,0.12,0,0.04,0.27
Other,1984,Racing,Activision,0.26,0.01,0,0,0.27
PS2,2004,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.27
PS,1996,Simulation,Other,0.15,0.1,0,0.02,0.27
PSP,2009,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
PSP,2006,Strategy,Namco Bandai Games,0,0,0.27,0,0.27
PS2,2002,Racing,Other,0.13,0.1,0,0.03,0.27
PS,2000,Sports,Other,0.15,0.1,0,0.02,0.27
DS,2010,Racing,THQ,0.17,0.08,0,0.02,0.27
Other,2003,Role-Playing,Nintendo,0.21,0.05,0,0.01,0.27
Other,1993,Fighting,Namco Bandai Games,0,0,0.27,0,0.27
Other,1994,Sports,Namco Bandai Games,0,0,0.27,0,0.27
X360,2010,Action,Sega,0.15,0.09,0,0.03,0.27
Other,N/A,Role-Playing,Other,0.11,0.05,0.07,0.03,0.27
PS2,2004,Action,Ubisoft,0.13,0.1,0,0.03,0.27
GBA,2002,Racing,Other,0.19,0.07,0,0,0.27
DS,2010,Adventure,Activision,0.25,0,0,0.02,0.27
PSP,2007,Action,Take-Two Interactive,0.23,0.01,0,0.02,0.27
PSP,2010,Simulation,Sony Computer Entertainment,0.02,0.17,0,0.09,0.27
Other,N/A,Action,Other,0.25,0.02,0,0,0.27
Other,1980,Misc,Activision,0.25,0.02,0,0,0.27
PS2,2009,Action,Other,0.12,0.01,0,0.14,0.27
Wii,2010,Sports,Other,0.25,0,0,0.02,0.27
XB,2004,Racing,Other,0.18,0.08,0,0.01,0.27
DS,2005,Puzzle,Namco Bandai Games,0.16,0,0.1,0.01,0.27
Other,1996,Role-Playing,Other,0,0,0.27,0,0.27
X360,2012,Racing,Other,0.07,0.17,0,0.02,0.27
Other,2012,Misc,Nintendo,0.13,0.12,0,0.02,0.27
GBA,2006,Platform,Activision,0.19,0.07,0,0,0.27
PS2,2001,Racing,Other,0.13,0.1,0,0.03,0.27
Other,2014,Adventure,Other,0.09,0.14,0,0.04,0.27
PS3,2014,Action,Other,0,0,0.27,0,0.27
Other,2005,Platform,Other,0.21,0.05,0,0.01,0.27
X360,2006,Sports,Electronic Arts,0.25,0,0,0.02,0.27
PC,2004,Strategy,Other,0.01,0.22,0,0.04,0.27
Other,2002,Platform,Electronic Arts,0.21,0.05,0,0.01,0.27
GBA,2002,Fighting,THQ,0.19,0.07,0,0,0.27
GBA,2002,Role-Playing,Konami Digital Entertainment,0,0,0.26,0.01,0.27
Other,2000,Role-Playing,Other,0,0,0.27,0,0.27
PS2,2004,Role-Playing,Other,0.13,0.1,0,0.03,0.27
XB,2005,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27
PS2,2004,Shooter,THQ,0.13,0.1,0,0.03,0.27
Other,2015,Action,Electronic Arts,0.16,0.09,0,0.02,0.27
X360,2008,Shooter,Sega,0.15,0.1,0,0.02,0.27
XB,2001,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27
Other,2014,Action,Other,0.13,0.12,0,0.02,0.27
X360,2013,Role-Playing,Other,0.15,0.08,0.01,0.02,0.27
PSP,2006,Sports,Electronic Arts,0.2,0.04,0,0.03,0.27
Other,1998,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
Other,1998,Sports,Other,0.25,0.02,0,0,0.27
Other,1999,Action,Other,0.18,0.08,0,0.01,0.27
Other,1999,Strategy,Nintendo,0.22,0.05,0,0,0.27
Other,1997,Sports,Konami Digital Entertainment,0.25,0.02,0,0,0.27
PS2,2005,Action,Other,0.13,0.1,0,0.03,0.27
Other,2012,Misc,Sega,0.07,0.07,0.12,0.01,0.27
Wii,2008,Adventure,Namco Bandai Games,0,0.07,0.19,0.01,0.27
Other,2012,Action,Nintendo,0,0,0.27,0,0.27
PS3,2011,Racing,Activision,0.25,0,0,0.02,0.27
PS2,2007,Action,Electronic Arts,0.13,0.1,0,0.03,0.27
Wii,2010,Action,Activision,0.14,0.1,0,0.02,0.27
PS2,2007,Racing,THQ,0.13,0.1,0,0.03,0.27
DS,2010,Misc,Electronic Arts,0.15,0.09,0,0.02,0.27
X360,N/A,Shooter,Activision,0.24,0.01,0,0.02,0.27
Wii,2010,Sports,Take-Two Interactive,0.23,0.02,0,0.02,0.27
XB,2005,Action,Activision,0.2,0.06,0,0.01,0.27
GBA,2001,Sports,Activision,0.19,0.07,0,0,0.27
PS3,2010,Sports,Activision,0.18,0.05,0,0.03,0.27
X360,2011,Misc,Activision,0.25,0,0,0.02,0.27
PS2,2000,Racing,Namco Bandai Games,0.06,0.05,0.14,0.02,0.27
Other,2012,Role-Playing,Electronic Arts,0.14,0.11,0,0.02,0.27
Other,2013,Action,Other,0.16,0.09,0,0.02,0.27
Other,1995,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
PS3,2011,Action,Electronic Arts,0.11,0.09,0.04,0.03,0.27
PC,2010,Strategy,Ubisoft,0.04,0.19,0,0.04,0.27
DS,2007,Puzzle,THQ,0.25,0,0,0.02,0.27
PS3,2016,Action,Other,0.1,0.12,0,0.04,0.27
PS3,N/A,Misc,Other,0.25,0,0,0.02,0.27
Other,1994,Simulation,Other,0,0,0.27,0,0.27
GBA,2001,Role-Playing,Nintendo,0,0,0.26,0.01,0.27
Other,2003,Sports,Electronic Arts,0.21,0.05,0,0.01,0.27
PS2,2001,Racing,Other,0.13,0.1,0,0.03,0.27
XB,2002,Racing,Electronic Arts,0.2,0.06,0,0.01,0.27
PS,1999,Racing,Electronic Arts,0.15,0.1,0,0.02,0.27
Wii,2007,Sports,Nintendo,0,0.22,0.05,0,0.27
Wii,2010,Platform,Other,0.16,0.08,0,0.02,0.27
X360,2009,Role-Playing,Other,0.25,0,0,0.02,0.27
DS,2010,Strategy,Nintendo,0,0,0.27,0,0.27
GBA,2005,Misc,Other,0.19,0.07,0,0,0.27
PSP,2006,Sports,Electronic Arts,0.24,0,0,0.02,0.27
PSP,2012,Sports,Konami Digital Entertainment,0,0.07,0.18,0.03,0.27
PS,1999,Role-Playing,Activision,0.15,0.1,0,0.02,0.27
PS2,2002,Shooter,Other,0.13,0.1,0,0.03,0.27
PS2,2010,Action,Other,0.08,0.11,0,0.08,0.27
DS,2010,Action,Konami Digital Entertainment,0.14,0.09,0,0.03,0.27
PS,1998,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.27
Other,2006,Simulation,Electronic Arts,0.21,0.05,0,0.01,0.27
DS,2009,Simulation,Electronic Arts,0.25,0,0,0.02,0.27
Other,2014,Action,Other,0.15,0.09,0,0.02,0.27
Wii,2010,Puzzle,Other,0.25,0,0,0.02,0.27
PC,2011,Strategy,Other,0.1,0.13,0,0.04,0.27
X360,2007,Sports,Take-Two Interactive,0.18,0.08,0,0,0.27
PS2,2003,Racing,Sega,0,0,0.27,0,0.27
PS2,2003,Simulation,Konami Digital Entertainment,0.13,0.1,0,0.03,0.27
PS,1995,Shooter,Other,0.15,0.1,0,0.02,0.27
PS,2000,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.27
Wii,2011,Misc,Ubisoft,0.25,0,0,0.02,0.27
XB,2002,Sports,Electronic Arts,0.2,0.06,0,0.01,0.27
DS,2011,Misc,Other,0.25,0,0,0.02,0.27
X360,2009,Sports,Other,0.25,0,0,0.02,0.27
PS,1996,Fighting,Sony Computer Entertainment,0.06,0.04,0.14,0.02,0.27
PS,1998,Role-Playing,Other,0.15,0.1,0,0.02,0.27
Other,1995,Puzzle,Other,0,0,0.27,0,0.27
PS2,2005,Fighting,Namco Bandai Games,0.13,0.1,0,0.03,0.27
DS,2008,Misc,Other,0.25,0,0,0.02,0.27
X360,2010,Strategy,Ubisoft,0.12,0.11,0,0.02,0.27
PS2,2004,Strategy,Other,0.13,0.1,0,0.03,0.27
PS3,2010,Role-Playing,Other,0.24,0,0,0.02,0.27
DS,2007,Puzzle,Other,0.25,0,0,0.02,0.27
X360,2007,Action,THQ,0.23,0.02,0,0.02,0.27
X360,2011,Sports,Ubisoft,0.14,0.1,0,0.03,0.27
PS2,2007,Adventure,Ubisoft,0.13,0.1,0,0.03,0.27
DS,2008,Puzzle,Other,0.24,0,0,0.02,0.27
Wii,2008,Misc,Other,0.24,0,0,0.02,0.27
DS,2007,Misc,Electronic Arts,0.24,0,0,0.02,0.27
PS3,2010,Sports,Konami Digital Entertainment,0,0,0.27,0,0.27
GBA,2003,Action,Other,0.19,0.07,0,0,0.27
PS3,2006,Sports,Sony Computer Entertainment,0.24,0,0.01,0.02,0.27
X360,2011,Shooter,Ubisoft,0.14,0.1,0,0.03,0.27
DS,2008,Misc,Ubisoft,0.24,0,0,0.02,0.27
Wii,2009,Puzzle,THQ,0.25,0,0,0.02,0.27
DS,2005,Racing,Electronic Arts,0.24,0.01,0,0.02,0.27
PS2,2006,Action,Ubisoft,0.13,0.1,0,0.03,0.27
X360,2009,Shooter,Other,0.15,0.09,0,0.02,0.27
Wii,2008,Sports,Other,0.23,0.03,0,0,0.27
GBA,2004,Misc,Other,0.19,0.07,0,0,0.27
XB,2003,Sports,Sega,0.2,0.06,0,0.01,0.27
PS,1997,Sports,Other,0,0,0.25,0.02,0.27
DS,2010,Misc,Other,0.25,0,0,0.02,0.26
PS2,2002,Misc,Other,0.11,0.09,0.03,0.03,0.26
PS3,2012,Action,Activision,0.12,0.1,0,0.04,0.26
X360,2007,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
GBA,2002,Role-Playing,Other,0.19,0.07,0,0,0.26
DS,2007,Simulation,Other,0.24,0,0,0.02,0.26
X360,2010,Strategy,Other,0.24,0,0,0.02,0.26
DS,2010,Adventure,THQ,0.19,0.06,0,0.02,0.26
PS3,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26
Other,1998,Shooter,Sega,0,0,0.26,0,0.26
Other,2016,Action,Other,0.07,0.16,0,0.04,0.26
PS3,2010,Simulation,Namco Bandai Games,0,0,0.26,0,0.26
PS2,2001,Action,Take-Two Interactive,0.13,0.1,0,0.03,0.26
X360,2008,Action,Sega,0.22,0.02,0,0.02,0.26
XB,2002,Shooter,Sega,0.16,0.05,0.04,0.01,0.26
PS,1999,Sports,Konami Digital Entertainment,0,0,0.25,0.02,0.26
Other,2013,Action,Namco Bandai Games,0,0,0.26,0,0.26
PS,1996,Role-Playing,Other,0.08,0.06,0.11,0.02,0.26
DS,2010,Simulation,Nintendo,0.25,0,0,0.02,0.26
PS,1996,Sports,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26
DS,2010,Strategy,Ubisoft,0.09,0.14,0,0.03,0.26
PS2,2007,Simulation,Ubisoft,0.13,0.1,0,0.03,0.26
PS2,2008,Shooter,Other,0.13,0.1,0,0.03,0.26
DS,2008,Role-Playing,Konami Digital Entertainment,0.09,0.01,0.15,0.01,0.26
X360,2006,Action,Electronic Arts,0.23,0.01,0,0.02,0.26
DS,2009,Role-Playing,Other,0.13,0,0.12,0.01,0.26
Wii,2013,Strategy,Activision,0.15,0.09,0,0.02,0.26
PS,1997,Platform,Sony Computer Entertainment,0.15,0.1,0,0.02,0.26
DS,2009,Simulation,Konami Digital Entertainment,0,0,0.26,0,0.26
PSP,2005,Role-Playing,Ubisoft,0,0.01,0.25,0,0.26
DS,2007,Role-Playing,Namco Bandai Games,0,0,0.26,0,0.26
Other,2015,Platform,Sony Computer Entertainment,0.09,0.13,0,0.04,0.26
PS2,2006,Sports,Other,0.13,0.1,0,0.03,0.26
DS,2008,Role-Playing,Other,0.09,0,0.16,0.01,0.26
Other,1994,Racing,Sega,0,0,0.26,0,0.26
GBA,2002,Action,THQ,0.19,0.07,0,0,0.26
PS3,2008,Action,Sega,0.22,0.02,0,0.02,0.26
X360,2010,Action,Other,0.18,0.06,0,0.02,0.26
DS,2009,Misc,Ubisoft,0.24,0,0,0.02,0.26
DS,2007,Misc,Nintendo,0,0,0.26,0,0.26
PS2,2008,Adventure,Other,0.09,0.02,0,0.16,0.26
Wii,2010,Action,THQ,0.21,0.04,0,0.02,0.26
Other,2013,Sports,Other,0,0,0.26,0,0.26
PS2,2004,Racing,Take-Two Interactive,0.13,0.1,0,0.03,0.26
Other,2015,Fighting,Namco Bandai Games,0.08,0.14,0,0.04,0.26
PS3,2011,Action,Ubisoft,0.06,0.15,0,0.05,0.26
PC,2015,Shooter,Activision,0,0.25,0,0.01,0.26
PS2,2007,Role-Playing,Sega,0.1,0.08,0.05,0.03,0.26
PS3,2013,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26
Wii,2010,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
GBA,2002,Action,THQ,0.19,0.07,0,0,0.26
PSP,2010,Fighting,Namco Bandai Games,0.11,0.03,0.09,0.03,0.26
Other,2013,Role-Playing,Other,0.1,0.01,0.14,0.01,0.26
PS2,2006,Action,Other,0,0,0.26,0,0.26
GBA,2002,Platform,THQ,0.19,0.07,0,0,0.26
GBA,2006,Role-Playing,Nintendo,0,0,0.26,0.01,0.26
GBA,2005,Racing,Electronic Arts,0.19,0.07,0,0,0.26
PS,2000,Simulation,Activision,0.15,0.1,0,0.02,0.26
Other,2002,Shooter,Other,0.2,0.05,0,0.01,0.26
PSP,N/A,Action,Other,0.1,0.1,0,0.06,0.26
PS2,2002,Fighting,Ubisoft,0.13,0.1,0,0.03,0.26
DS,2011,Adventure,Other,0,0,0.26,0,0.26
PS3,2011,Action,Other,0.04,0.04,0.16,0.02,0.26
Wii,2007,Simulation,THQ,0.23,0.01,0,0.02,0.26
DS,2009,Puzzle,Other,0,0.24,0,0.02,0.26
PSP,2006,Fighting,Namco Bandai Games,0.26,0,0,0,0.26
X360,2012,Action,Activision,0.18,0.05,0,0.02,0.26
PS3,2011,Sports,Konami Digital Entertainment,0,0,0.26,0,0.26
Wii,2009,Sports,Take-Two Interactive,0.24,0,0,0.02,0.26
GBA,2006,Misc,Konami Digital Entertainment,0.14,0.05,0.07,0.01,0.26
Other,2016,Sports,Take-Two Interactive,0.12,0.12,0,0.02,0.26
GBA,2003,Sports,Konami Digital Entertainment,0,0,0.25,0.01,0.26
X360,2007,Strategy,Other,0.21,0.02,0,0.02,0.26
GBA,2004,Adventure,Other,0,0,0.25,0.01,0.26
PS2,2002,Racing,Other,0.13,0.1,0,0.03,0.26
Other,2015,Racing,Other,0.11,0.13,0,0.02,0.26
PSP,2009,Sports,Sony Computer Entertainment,0.24,0,0,0.02,0.26
PS,1999,Misc,Other,0.04,0.03,0.18,0.02,0.26
Wii,2011,Role-Playing,Nintendo,0,0.01,0.25,0,0.26
PS3,2014,Action,Activision,0.06,0.14,0.02,0.04,0.26
PSP,2009,Misc,Sega,0,0,0.26,0,0.26
PSP,2008,Fighting,Namco Bandai Games,0,0,0.26,0,0.26
PSP,2009,Action,Other,0,0,0.26,0,0.26
Other,1999,Shooter,Other,0.21,0.05,0,0,0.26
Other,1996,Action,Activision,0.21,0.05,0,0,0.26
Other,2000,Simulation,Other,0.21,0.05,0,0,0.26
Other,1999,Shooter,Other,0.21,0.05,0,0,0.26
PS2,2007,Sports,Electronic Arts,0.13,0.1,0,0.03,0.26
PS2,2004,Simulation,Other,0.06,0.05,0.14,0.02,0.26
Wii,2009,Misc,Take-Two Interactive,0.24,0,0,0.02,0.26
PS2,2002,Sports,Konami Digital Entertainment,0.13,0.1,0,0.03,0.26
GBA,2002,Adventure,Other,0.19,0.07,0,0,0.26
PS3,2014,Action,Sega,0,0,0.26,0,0.26
DS,2008,Simulation,Other,0.24,0,0,0.02,0.26
Wii,2009,Misc,Konami Digital Entertainment,0.16,0.07,0,0.02,0.26
XB,2003,Sports,Other,0.19,0.06,0,0.01,0.26
Other,2001,Adventure,Ubisoft,0.2,0.05,0,0.01,0.26
Other,1981,Sports,Other,0.24,0.01,0,0,0.26
PS2,2009,Sports,Electronic Arts,0.12,0.01,0,0.13,0.26
Wii,2008,Sports,Ubisoft,0.24,0,0,0.02,0.26
DS,2007,Strategy,Namco Bandai Games,0,0,0.26,0,0.26
XB,2003,Role-Playing,Other,0.19,0.06,0,0.01,0.26
Wii,2009,Simulation,Ubisoft,0.24,0,0,0.02,0.26
PS,2000,Racing,Other,0.14,0.1,0,0.02,0.26
PS3,2008,Action,Activision,0.2,0.04,0,0.02,0.26
PS2,2001,Role-Playing,Other,0.13,0.1,0,0.03,0.26
Other,2003,Racing,Other,0.2,0.05,0,0.01,0.26
PS3,2014,Action,Other,0,0,0.26,0,0.26
GBA,2004,Action,Nintendo,0.1,0.04,0.11,0.01,0.26
Wii,2009,Sports,Take-Two Interactive,0.14,0.09,0,0.03,0.26
Wii,2009,Racing,Nintendo,0.24,0,0,0.02,0.26
PS2,2005,Simulation,Other,0,0,0.26,0,0.26
GBA,2003,Action,Konami Digital Entertainment,0.18,0.07,0,0,0.26
Other,1997,Fighting,Other,0,0,0.26,0,0.26
GBA,2004,Misc,Other,0.18,0.07,0,0,0.26
XB,2005,Adventure,Electronic Arts,0.19,0.06,0,0.01,0.26
PS2,2004,Fighting,Other,0.13,0.1,0,0.03,0.26
PS,1998,Fighting,Other,0.14,0.1,0,0.02,0.26
PS3,2012,Role-Playing,Other,0.06,0.04,0.14,0.02,0.26
DS,2008,Adventure,Other,0.24,0,0,0.02,0.26
Other,2016,Shooter,Take-Two Interactive,0.12,0.08,0.02,0.04,0.26
Other,1996,Sports,Sega,0,0,0.26,0,0.26
Wii,2009,Simulation,Electronic Arts,0.21,0.02,0,0.02,0.26
Wii,2009,Simulation,Namco Bandai Games,0.24,0,0,0.02,0.26
PS2,2002,Adventure,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26
DS,2011,Shooter,Activision,0.19,0.04,0,0.02,0.26
XB,2005,Misc,THQ,0.19,0.06,0,0.01,0.26
X360,2013,Action,Other,0.12,0.1,0.02,0.02,0.26
X360,2010,Sports,Activision,0.17,0.06,0,0.02,0.26
PS,1998,Racing,Other,0,0,0.24,0.02,0.26
PS3,2012,Action,Sony Computer Entertainment,0,0,0.26,0,0.26
Other,2004,Platform,Activision,0.2,0.05,0,0.01,0.26
X360,2013,Shooter,Electronic Arts,0.16,0.07,0,0.02,0.26
PS3,2013,Platform,Other,0.11,0.08,0.02,0.04,0.26
GBA,2002,Platform,Electronic Arts,0.18,0.07,0,0,0.26
PS3,2007,Action,Ubisoft,0.2,0.03,0,0.03,0.26
PS,1999,Simulation,Other,0.07,0.05,0.13,0.02,0.26
Other,1999,Strategy,Nintendo,0,0,0.26,0,0.26
DS,2006,Action,Other,0.11,0.02,0.11,0.01,0.26
Other,1987,Shooter,Other,0.24,0.01,0,0,0.26
X360,2008,Shooter,Other,0.08,0.15,0,0.03,0.26
X360,2005,Action,Ubisoft,0.2,0.03,0,0.02,0.26
Other,1997,Role-Playing,Other,0,0,0.26,0,0.26
DS,2005,Platform,Ubisoft,0.21,0.03,0,0.02,0.26
PS2,2007,Simulation,Other,0,0,0.26,0,0.26
GBA,2002,Racing,Other,0.18,0.07,0,0,0.26
PC,2008,Strategy,Other,0.04,0.18,0,0.04,0.26
Other,2002,Sports,Other,0.2,0.05,0,0.01,0.26
XB,2002,Sports,Other,0.19,0.06,0,0.01,0.26
PS2,2004,Racing,Activision,0.13,0.1,0,0.03,0.26
PS2,2009,Adventure,Other,0,0.21,0,0.04,0.26
PS,1999,Sports,Electronic Arts,0.14,0.1,0,0.02,0.26
PS2,2003,Sports,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26
GBA,2002,Strategy,Other,0,0,0.25,0.01,0.26
DS,2008,Adventure,Other,0.24,0,0,0.02,0.26
GBA,2002,Platform,Konami Digital Entertainment,0.16,0.06,0.04,0,0.26
PS2,2001,Racing,Sony Computer Entertainment,0.13,0.1,0,0.03,0.26
Other,1996,Role-Playing,Other,0,0,0.26,0,0.26
DS,2010,Action,THQ,0.12,0.11,0,0.02,0.26
